,XID,Name,Kind,City,OSM,WikiData,Rate,Lon,Lat,NewWikiData,Description
51,W152110787,Дом Сироткина,"cultural,museums,interesting_places,other_museums",Нижний Новгород,way/152110787,Q99929827,3h,44.012966,56.329269,Q99929827,"Дом Сиро́ткина с ро́списью плафо́нов — памятник градостроительства и архитектуры федерального значения в историческом центре Нижнего Новгорода. Построен в 1913—1916 годах. Дом-особняк стал первой самостоятельной работой архитекторов братьев Весниных, впоследствии всемирно известных зодчих, лидеров советского авангарда.До революции особняк был главным домом усадьбы купца Дмитрия Васильевича Сироткина. Изначально уже строился как музейное здание, которое владелец после смерти желал передать в дар Нижнему Новгороду. В настоящее время является одним из корпусов Нижегородского государственного художественного музея — отдел зарубежного искусства.Особняк — яркий пример неоклассического направления ретроспективизма. По своим высоким художественным качествам является одним из значительных произведений предреволюционной русской архитектуры. По мнению искусствоведов Селима Хан-Магомедова, Михаила Ильина и доктора архитектуры Ольги Орельской — одно из лучших произведений русского неоклассицизма."
52,W170361331,Спасский староярмарочный кафедральный собор,"religion,cathedrals,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/170361331,Q1916538,3h,43.953976,56.331402,Q1916538,"Спа́сский Староя́рмарочный собо́р — православный храм в Нижнем Новгороде. Построен в 1818—1822 годах инженером-механиком Августином Бетанкуром по проекту архитектора Огюста Монферрана в стиле русский ампир. Собор возводился как главная архитектурная доминанта Нижегородской ярмарки — крупнейшего ансамбля в русской архитектуре позднего классицизма. В 1886—1888 годах храм был реконструирован гражданским инженером Робертом Килевейном.В храме три престола: главный — в честь Всемилостивого Спаса и Происхождения честных древ Животворящего Креста; и два в придельных алтарях: северный — в честь святого князя Александра Невского; и южный — в честь преподобного Макария Желтоводского.Спасский Староярмарочный собор является объектом культурного наследия Российской Федерации федерального значения и ставится исследователями в один ряд с наиболее значимыми постройками русской архитектуры периода высокого классицизма. Над оформлением интерьеров собора в разное время трудились скульптор Фридолино Торичелли, архитектор Роман Кузьмин, художники Александр Ступин, Михаил Скотти, Андрей Карелин и другие.С 1824 по 1852 год собор находился в ведении нижегородских губернских властей и ярмарочной конторы, а позже перешёл под управление епархии. В советское время храм был закрыт и использовался как склад. В 1989 году возвращён Русской православной церкви в аварийном состоянии. Реставрационные работы продолжались в течение 1990—2000-х годов. С апреля 1989 года до 12 сентября 2009 года храм являлся кафедральным собором Нижегородской епархии."
53,R2906497,Георгиевская башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906497,Q27781792,3h,44.008911,56.330097,Q27781792,"Георгиевская башня (Егорьевская башня) — самая восточная башня Нижегородского кремля. Расположена между Борисоглебской и Пороховой башнями, на бровке волжского берега, около памятника Валерию Чкалову у начала Чкаловской лестницы."
54,R2767108,Локомотив,"sport,architecture,historic_architecture,interesting_places,stadiums,other_buildings_and_structures",Нижний Новгород,relation/2767108,Q2503505,3h,43.929649,56.309647,Q2503505,"Центра́льный стадио́н «Локомоти́в» — многофункциональный стадион в Нижнем Новгороде, Россия."
55,W147551305,Доходный дом купчихи П. Е. Кубаревой,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,way/147551305,Q84609804,3h,43.977024,56.324112,Q84609804,Дом П. Е. Кубаревой — памятник градостроительства и архитектуры в историческом центре Нижнего Новгорода. Построен в 1838—1847 годах. Автор проекта — первый городской архитектор Нижнего Новгорода  Г. И. Кизеветтер. Историческое здание — объект культурного наследия Российской Федерации.
56,R2906495,Белая башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906495,Q27781780,3h,44.001812,56.330524,Q27781780,"Белая башня — круглая башня Нижегородского кремля, расположенная в подгорной части между Ивановской и Зачатьевской башнями."
57,N5141054174,Дом Советов,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,node/5141054174,Q28032873,3h,44.005836,56.328762,Q28032873,"Дом Советов — административное здание в Нижнем Новгороде, в котором размещается администрация города и городская дума. Расположено по адресу Кремль, корп. 5.Чтобы освободить площадку для строительства нового административного здания, в 1929 году разобрали Спасский собор. Построен в 1929—1931 годах. Стал вторым Домом Советов в стране.Архитектор — Александр Зиновьевич Гринберг. Является одним из ярких примеров конструктивизма в городе и стране.Из большинства помещений здания открывается прекрасный вид на реку Волгу и Кремлёвский сад."
58,R2906505,Пороховая башня,"towers,architecture,interesting_places,other_towers",Нижний Новгород,relation/2906505,Q51946190,3h,44.007252,56.328491,Q51946190,"Пороховая башня — круглая башня Нижегородского кремля. Расположена в нагорной части между Дмитриевской и Георгиевской башнями, напротив бывшего здания Нижегородской семинарии на площади Минина и Пожарского."
59,N4929597723,Чкаловская лестница ,"historic,monuments_and_memorials,interesting_places,monuments",Нижний Новгород,node/4929597723,Q4516884,3h,44.009426,56.330471,Q4516884,"Чкаловская лестница (официальное название — Волжская лестница) — монументальная лестница в историческом центре Нижнего Новгорода, соединяющая Верхне-Волжскую и Нижне-Волжскую набережные. Построена по проекту архитекторов Александра Яковлева, Льва Руднева и Владимира Мунца. Являлась самой длинной лестницей в России до аннексии Крыма.Лестница была заложена в 1944 году в честь победы в Сталинградской битве. Официально она именовалась Волжской, однако в 1980-х годах это название было вытеснено обывательским — Чкаловская, по расположенному в верхней части сооружения памятнику лётчику В. П. Чкалову.Лестница начинается от смотровой площадки у памятника Чкалову, рядом с Георгиевской башней кремля. Построена в виде восьмёрки и состоит из 560 ступеней, если считать обе стороны «восьмёрки». Количество ступеней от низа до верха составляет 442 по правой стороне. В местах пересечений боковых спусков имеются смотровые площадки, всего их две. Лестница также ведёт к памятнику — катеру «Герой», который находится у самой Волги."
60,W151905929,Церковь во имя Всемилостивейшего Спаса,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/151905929,Q4500767,3h,44.024475,56.31905,Q4500767,"Храм Всеми́лостивого Спа́са — православный храм в Нижнем Новгороде. Единственный из сохранившихся храмов, заложенных в память чудесного спасения семьи императора Александра III 17 октября 1888 года при крушении поезда на Курско-Харьковской железной дороге. Император имел при себе тогда копию древней чудотворной вологодской иконы Нерукотворного Спаса.Проект храма в русском стиле XVII века выполнен академиком архитектуры Александром Кочетовым по типу церкви в подмосковном селе Останкине. Вместимость — 1700 человек.Храм трёхпридельный:центр — во имя Всемилостивейшего Спаса Нерукотворного Его Образа;правый — святого апостола Иакова, брата Господня по плоти, святого Николая Мир Ликийских чудотворца и преподобного Серафима Саровского;левый — святителей Московских Петра и Алексия, преподобного Сергия Радонежского и пророка Осии."
61,R2174006,Храм Живоначальной Троицы,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2174006,Q16715808,3h,44.046577,56.308556,Q16715808,"Церковь Троицы Живоначальной в Высокове — соборный храм в селе Высоково (ныне это территория Советского и Нижегородского районов Нижнего Новгорода).Дата постройки точно неизвестна, но освящение храма произошло в 1815 году епископом Нижегородским Моисеем. Известно, что архитектором был Иван Иванович Межецкий, который проектировал здание по типу «корабль», со строго осевым расположением алтаря, молельного зала, трапезной и высотной колокольни. Церковь расположена на Овражной улице. Освящена церковь в честь Троицы Живоначальной, а придел — в честь праздника Покрова Пресвятой Богородицы. В то время село Высоково находилось за пределами Нижнего Новгорода и было вотчиной Нижегородского Печерского монастыря, но в 1929 году включено в состав города.В советское время храм был закрыт всего на 2,5 месяца, открывшись на 40-й день войны. В 1942 году городская Троицкая церковь была единственной действующей на большой территории Горького, а число её прихожан превышало 5 тысяч человек. В 1943—1974 годах церковь в Высокове имела статус кафедрального собора. С 1997 года при храме действует воскресная школа для детей.В настоящий момент в храме хранятся святыни: Животворящий Крест из Соловецкого монастыря, а также старинные иконы Спасителя, Божией Матери и святителя Николая Чудотворца. Рядом с храмом находится Высоковское кладбище."
62,W164712659,Церковь в честь Преображения Господня,"religion,other_temples,interesting_places",Нижний Новгород,way/164712659,Q104776528,3h,44.072117,56.318909,Q104776528,"Церковь Преображения Господня в Старых Печёрах — приходской храм Нижегородского благочиния Нижегородской епархии Русской православной церкви. Расположена в историческом районе Старые Печёры, в настоящий момент — в черте Нижнего Новгорода.Ведёт историю от старинной деревянной церкви Иоанна Богослова, построенной в XVII веке на месте обнаружения мощей схимонаха Иоасафа Печерского, нижегородского чудотворца, канонизированного как местночтимого святого.Существующий каменный храм был построен в 1788—1794 годах и освящён в честь праздника Преображения Господня."
63,N1808680328,Музей науки «Нижегородская радиолаборатория»,"cultural,museums,science_museums,interesting_places",Нижний Новгород,node/1808680328,Q1994279,3h,44.013882,56.329411,Q1994279,Нижегородская радиолаборатория (НРЛ) — первый советский научно-исследовательский центр в области радиотехники. С 1924 года — Нижегородская радиолаборатория имени В. И. Ленина. 1 октября 1928 года в ходе реорганизации вошла в состав ленинградской Центральной радиолаборатории Треста заводов слабого тока.
64,W149417079,Крестовоздвиженский собор,"religion,monasteries,interesting_places",Нижний Новгород,way/149417079,Q4240402,3h,43.982094,56.307251,Q4240402,Крестовоздвиженский монастырь — женский православный монастырь в Нижнем Новгороде.
65,W918325991,Губернаторский сад,"urban_environment,gardens_and_parks,cultural,interesting_places",Нижний Новгород,way/918325991,Q100882660,3h,44.005272,56.329803,Q100882660,"Губернаторский сад — парк, расположенный в историческом центре Нижнего Новгорода, на территории Нижегородского кремля. Запроектирован в 1836 году в английском стиле главным садовником экспедиции Кремлёвского строения Францем Семёновичем Пельцелем.      Изначально сад был закрытым для посещений парком при доме губернатора. После революции стал общественным."
66,N262652256,М. Горькому,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",Нижний Новгород,node/262652256,Q4343244,3h,43.990711,56.31348,Q4343244,"Памятник Максиму Горькому в Нижнем Новгороде, находящийся в сквере на площади Горького, был открыт 2 ноября 1952 года. Семиметровая бронзовая фигура Горького создана скульптором В. И. Мухиной, архитектурное решение принадлежит В. В. Лебедеву и П. П. Штеллеру. Скульптура отлита на Ленинградском заводе «Монументскульптура».В 1939 году был объявлен Всесоюзный конкурс на проект памятника А. М. Горькому, победителем которого стал проект В. И. Мухиной. Его реализации помешала начавшаяся в 1941 году Великая Отечественная война. После войны площадь Горького подверглась реконструкции, на ней был организован сквер. И только затем, 2 ноября 1952 года, был открыт памятник.Фигура Горького, высоко поднятая над площадью, установлена на четырехгранном постаменте, словно «вырастающем» из гранитной скалы. Вера Мухина создала образ молодого Горького в период его жизни в родном Нижнем Новгороде, именно в этот период он пишет знаменитую «Песню о Буревестнике».«Он стоит, распрямившись, заложив руки за спину, подставив лицо и грудь встречному ветру, который шевелит наброшенный на плечи плащ. Крупные складки плаща создают красивый силуэт памятника, обогащают подчеркнуто строгую вертикаль фигуры. Очень выразительны спина и руки, перехватившие одна другую. Этот жест выдает огромную внутреннюю взволнованность, сдерживаемую волевым усилием»Памятник входит в число объектов культурного наследия федерального и регионального значения, расположенных в Нижнем Новгороде."
67,R2906500,Кладовая башня,"towers,architecture,fortifications,historic,interesting_places,other_towers,fortified_towers",Нижний Новгород,relation/2906500,Q51946155,3h,44.003525,56.326359,Q51946155,"Кладовая башня — круглая башня Нижегородского кремля. Расположена в нагорной части между Дмитриевской и Никольской башнями, у начала Зеленского съезда. Постоянное использование башни под склады военного и гражданского имущества обусловило её нынешнее название."
68,W85787924,Спасо-преображенский собор,"religion,churches,interesting_places,other_churches",Нижний Новгород,way/85787924,Q2403914,3h,43.872032,56.349922,Q2403914,Спасо-Преображенский собор в Сормове — православный храм в Сормовском районе Нижнего Новгорода. Входит в Сормовское благочиние Нижегородской епархии Русской православной церкви.Памятник архитектуры регионального значения. При нём открыты воскресная школа и православный лекторий.
69,W151905901,Церковь во имя Всемирлостивейшего Спаса,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,way/151905901,Q4500767,3h,44.024479,56.319065,Q4500767,"Храм Всеми́лостивого Спа́са — православный храм в Нижнем Новгороде. Единственный из сохранившихся храмов, заложенных в память чудесного спасения семьи императора Александра III 17 октября 1888 года при крушении поезда на Курско-Харьковской железной дороге. Император имел при себе тогда копию древней чудотворной вологодской иконы Нерукотворного Спаса.Проект храма в русском стиле XVII века выполнен академиком архитектуры Александром Кочетовым по типу церкви в подмосковном селе Останкине. Вместимость — 1700 человек.Храм трёхпридельный:центр — во имя Всемилостивейшего Спаса Нерукотворного Его Образа;правый — святого апостола Иакова, брата Господня по плоти, святого Николая Мир Ликийских чудотворца и преподобного Серафима Саровского;левый — святителей Московских Петра и Алексия, преподобного Сергия Радонежского и пророка Осии."
70,R2969244,Церковь во имя Святого Пророка Божия Илии,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,relation/2969244,Q59901,3h,43.993713,56.328205,Q59901,"Церковь Святого Пророка Божия Илии — приходская церковь Нижегородской епархии Русской православной церкви в Започаинье в Нижнем Новгороде. Освящена в честь пророка Илии.По преданию, церковь построена в память избавления Нижнего Новгорода от нашествия татар и ногайцев в 1505 году. На месте её строительства стоял шатёр ногайского мурзы, убитого точным выстрелом пленного пушкаря Феди Литвича. Впервые столкнувшись с грозным оружием, войско Махмед-Амина в панике бежало.Достоверная история храма прослеживается с 1621 года. В 1655 году отстроена в камне. Церковь дала название одной из исторических улиц Нижнего Новгорода — Ильинской."
71,R2323262,Зачатьевская башня,"towers,architecture,fortifications,historic,cultural,museums,interesting_places,other_museums,other_towers,fortified_towers",Нижний Новгород,relation/2323262,Q18408061,3h,44.003357,56.33083,Q18408061,"Зачатьевская (Зачатская) башня — прямоугольная проездная башня Нижегородского кремля, расположенная в подгорной части между Белой и Борисоглебской башнями. Названа по располагавшемуся рядом, вне стен кремля, Зачатьевскому монастырю. В документах XVII века называется также «Белой», видимо, из-за белокаменной облицовки нижней части. В некоторых документах XVIII в. упоминается как Живоносовская башня (по церкви и монастырю в честь Живоносного источника). Была разрушена оползнем и впоследствии разобрана на строительный материал для ремонта кремля в 1785—1787 гг. по приказу нижегородского губернатора И. М. Ребиндера.Воссоздана для музейного использования в 2012 году. Торжественное открытие башни-музея состоялось в День народного единства, когда отмечалось 400-летие Второго народного ополчения."
72,Q97999957,Здание Удельной конторы,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q97999957,3h,44.021175,56.325153,Q97999957,"Здание Удельной конторы — памятник истории в центре Нижнего Новгорода, Большая Печёрская улица, 25. Здание построено в 1826 году, как городской особняк семьи губернатора А. С. Крюкова. Предполагалось, что автором проекта был Г. И. Кизеветтер, но позже выяснилось, что здание возведено до того, как зодчий стал работать в городе. Кардинально перестроено в советский период по проекту архитектора В. А. Орельского.             До революции в здании располагались удельная контора и удельная больница. В удельной конторе, с 1849 по 1859 год жили и работали писатель, этнограф и лексикограф В. И. Даль и архитектор Л. В. Даль."
73,Q3860437,Печёрский Вознесенский монастырь,"religion,monasteries,interesting_places",Нижний Новгород,,Q3860437,3h,44.049721,56.322777,Q3860437,"Пече́рский Вознесе́нский монасты́рь (по утверждению местных жителей, а также в Большой Советской энциклопедии — Печёрский) — мужской монастырь Нижегородской епархии Русской православной церкви в Нижнем Новгороде. Основан в 1328—1330 годах святителем Дионисием Суздальским. Изначально располагался на месте современного района Старые Печёры на берегу Печёрской Воложки."
74,Q16715547,Церковь Александра Невского в Сормово,"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,,Q16715547,3h,43.868862,56.357773,Q16715547,"Церковь благоверного князя Александра Невского в Сормове — православный храм в Сормовском районе Нижнего Новгорода, расположен на улице Баррикад."
75,Q77756790,Усадьба Вяхиревых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q77756790,3h,43.974319,56.321663,Q77756790,"Усадьба Вяхиревых (Усадьба Н. Г. Щепетовой) — архитектурный ансамбль в историческом центре Нижнего Новгорода. Главный дом и флигели усадебного комплекса построены в 1838—1849 годах. Автор проекта — первый городской архитектор Нижнего Новгорода Г. И. Кизеветтер.Ансамбль состоит из пяти строений по адресу Черниговская улица, 12: главного дома, двух флигелей и двух проездных кирпичных арочных ворот. Исторические здания сегодня — объекты культурного наследия Российской Федерации."
76,Q78114479,Дом Ермолаевых — П. Парфёнова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q78114479,3h,43.987328,56.315933,Q78114479,"Дом Ермолаевых — П. Парфёнова (Дом Фролова) — памятник градостроительства и архитектуры в историческом центре Нижнего Новгорода. Построен в 1840 году. Автор проекта — первый городской архитектор Нижнего Новгорода Г. И. Кизеветтер.Здание ошибочно считалось домом Фролова, но до сих пор внесено в перечень объектов культурного наследия под этим названием. Историческое здание по адресу Ильинская улица, 96 сегодня — объект культурного наследия Российской Федерации."
77,Q83495700,Доходный дом Б. Н. Юсупова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q83495700,3h,44.000031,56.322086,Q83495700,Доходный дом Б. Н. Юсупова — памятник градостроительства и архитектуры в историческом центре Нижнего Новгорода. Построен в 1847—1848 годах по проекту нижегородского губернского архитектора Л. В. Фостикова.
78,Q83560635,Торговый флигель О. Н. Каменевой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q83560635,3h,43.995853,56.317665,Q83560635,"Торговый флигель О. Н. Каменевой — памятник градостроительства и архитектуры в историческом центре Нижнего Новгорода. Построен в 1914—1916 годах. Автор проекта неизвестен. Флигель является одним из немногих зданий Нижнего Новгорода в стиле романтического модерна, сохранившим исторический вид, объемно-пространственную и объемно-планировочную структуру."
79,Q84172585,Дом Е. Трушенинниковой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q84172585,3h,44.010155,56.329014,Q84172585,Дом Е. Трушенинниковой — памятник архитектуры в историческом центре Нижнего Новгорода. Построен в 1851—1852 годах по проекту архитектора Л. В. Фостикова в стиле академической эклектики.
80,Q84340772,Дом Виноградовых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q84340772,3h,43.987938,56.323109,Q84340772,Дом Виноградовых — памятник архитектуры в историческом центре Нижнего Новгорода. Построен в 1826—1851 годах по проектам архитекторов А. Л. Леера и Н. И. Ужумедского-Грицевича в стилях русского классицизма и академической эклектики.
81,Q84767074,Дом М. В. Медведева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q84767074,3h,43.976734,56.323944,Q84767074,Дом М. В. Медведева — памятник градостроительства и архитектуры в историческом центре Нижнего Новгорода. Построен в 1843—1844 годах. Автор проекта — первый городской архитектор Нижнего Новгорода  Г. И. Кизеветтер. Историческое здание — объект культурного наследия Российской Федерации.
82,Q86683423,Здание Волжско-Камского банка,"historic_architecture,architecture,interesting_places,bank,banks,tourist_facilities,other_buildings_and_structures",Нижний Новгород,,Q86683423,3h,43.991901,56.329498,Q86683423,"Здание Волжско-Камского банка — памятник архитектуры в историческом центре Нижнего Новгорода. Построен в 1894—1896 годах по проекту архитектора В. П. Цейдлера в стиле академической эклектики.До революции здание принадлежало Волжско-Камскому банку — одному из крупнейших банков Российской империи, с капиталом более 300 млн рублей."
83,Q86684971,Дом И. Н. Соболева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q86684971,3h,43.98222,56.326599,Q86684971,Дом И. Н. Соболева — памятник архитектуры в историческом центре Нижнего Новгорода. Построен в 1860—1862 годах по проекту архитектора Н. И. Ужумедского-Грицевича в стиле академической эклектики.
84,Q88379274,Дом А. И. Фролова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q88379274,3h,44.004597,56.321331,Q88379274,Дом А. И. Фролова (Усадьба князя Грузинского — Толстой) — памятник архитектуры в историческом центре Нижнего Новгорода. Построен предположительно в 1800-х годах. Перестроен в 1903 году. Автор первоначального проекта неизвестен. Автор перестройки 1903 года — архитектор Н. Д. Григорьев.
85,Q96240614,Казанская церковь (Кстово),"religion,churches,interesting_places,eastern_orthodox_churches",Нижний Новгород,,Q96240614,3h,44.172501,56.181389,Q96240614,"Церковь Казанской иконы Божией Матери — храм Нижегородской епархии Русской православной церкви, расположенный в исторической («старой») части города Кстово Нижегородской области."
86,Q96337173,Усадьба Е. И. Богоявленской,"architecture,historic_architecture,interesting_places,manor_houses",Нижний Новгород,,Q96337173,3h,44.027401,56.323872,Q96337173,"Усадьба Е. И. Богоявленской — архитектурный ансамбль в историческом центре Нижнего Новгорода. Усадебный комплекс построен в 1877 году (в паспорте объекта культурного наследия ошибочно указан 1871 год постройки). Архитектором комплекса выступил И. К. Кострюков. В состав комплекса усадьбы входят три строения: главный дом, флигель и каменные ворота. Они представляют собой характерный образец нижегородского деревянного городского жилого дома 1870-х годов. Фасады зданий богато декорированы пропильной резьбой.Комплекс зданий связан с развитием начального образования в Нижегородской губернии, так как здесь, с 1894 по 1910 год, располагалась первая в городе бесплатная библиотека-читальня, учреждённая Обществом распространения начального образования в Нижегородской губернии."
87,Q96591455,Усадьба Киршбаумов,"architecture,historic_architecture,interesting_places,manor_houses",Нижний Новгород,,Q96591455,3h,44.019402,56.323601,Q96591455,"Усадьба Киршбаумов — бывшая городская усадьба в историческом центре Нижнего Новгорода. Построена в 1847—1861 годах. Усадьба связана с именем писателя А. М. Горького. В бывшем доме Киршбаума расположен Музей-квартира А. М. Горького, где писатель снимал свою последнюю нижегородскую квартиру."
88,Q97163612,Дом А. К. Фомина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q97163612,3h,44.011063,56.328957,Q97163612,"Дом А. К. Фомина — утраченный памятник градостроительства и архитектуры в историческом центре Нижнего Новгорода. Построен в 1906—1908 годах, по проекту архитектора П. А. Домбровского.   Являясь памятником поздней академической эклектики, здание имело и мемориальное значение, так как было связано с жизнью известного врача-хирурга К. К. Чачхиани и его супруги Зворыкиной (Чачхиани) Олимпиады Алексеевны и с деятельностью областной писательской организации, членами которой являлись видные представители горьковской (нижегородской) интеллигенции Н. И. Колчин, И. И. Бережной, А. П. Бринский, Ю. А. Андрианов и другие. Памятник был уничтожен посредством фасадизма в 2022 году, фасад включён в объём элитного жилого комплекса, строящегося на месте снесённой в начале 2020 года гостиницы «Россия»."
89,Q4165515,Дом культуры ГУВД (Нижний Новгород),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",Нижний Новгород,,Q4165515,3h,43.988495,56.316048,Q4165515,Дом культуры ГУВД (Дом-коммуна «Дом чекиста») — здание в Нижнем Новгороде.
